sicaklik,mq7,mq135,toz,event_label
20.01,0.004954,3.451188,2.647849,1
24.83,0.004345,0.68768,0.245176,3
21.2,0.00553,0.793858,0.228407,3
23.25,0.005753,0.858832,0.165307,3
21.67,0.006598,2.697156,2.98428,1
22.15,0.044697,0.674746,1.425375,2
24.94,0.005493,0.738486,0.194046,3
25.39,0.010846,0.73699,0.226943,4
24.89,0.006026,0.764821,0.210416,3
21.59,0.04164,0.98934,1.543012,2
26.81,0.014686,0.728832,0.233506,4
20.48,0.039349,1.477581,1.601937,2
20.9,0.00626,0.344135,0.183591,0
20.28,0.043095,1.289625,1.734385,2
21.59,0.005983,0.678788,0.202251,3
21.97,0.004964,2.86832,3.72414,1
24.67,0.029998,0.616699,0.198556,4
23.47,0.005057,2.546775,4.302923,1
25.34,0.020534,0.574058,0.241435,4
21.22,0.045454,0.660712,1.1906,2
26.12,0.028901,0.78193,0.185902,4
20.91,0.003816,0.249702,0.157389,0
20.4,0.00507,2.630241,4.755079,1
21.75,0.003887,0.195309,0.238504,0
23.69,0.005503,3.243069,5.83545,1
24.84,0.022741,0.972227,0.279187,4
22.15,0.004562,0.273506,0.195112,0
24.72,0.023535,0.901967,0.205634,4
25.18,0.011736,0.581529,0.281489,4
22.32,0.025457,1.466742,1.781639,2
22.95,0.005244,0.266011,0.232326,0
23.24,0.006058,1.266272,2.793596,1
23.22,0.004205,0.614865,0.24343,3
26.19,0.029039,0.653359,0.143522,4
22.62,0.005362,1.78662,2.311039,1
22.84,0.006453,1.100422,0.172318,3
21.18,0.006092,2.866768,3.673559,1
23.73,0.006023,1.005286,0.264387,3
26.23,0.027351,0.50006,0.266297,4
25.31,0.020911,0.53654,0.263683,4
24.36,0.010074,0.881326,0.241416,4
22.54,0.005303,2.675603,5.832945,1
22.02,0.022961,1.176659,1.972933,2
23.15,0.005242,3.023354,4.822288,1
21.33,0.022018,1.412256,1.420295,2
26.92,0.011257,0.755248,0.223708,4
21.56,0.006109,0.09966,0.231919,0
21.56,0.005264,1.106646,0.226627,3
20.63,0.041366,1.392935,1.627354,2
21.72,0.003924,2.695355,3.851069,1
25.53,0.004206,1.074274,0.242259,3
23.14,0.006262,3.329089,3.719085,1
21.64,0.004843,3.74873,3.44183,1
25.23,0.010054,0.6775,0.193073,4
23.69,0.005472,0.679133,0.175651,3
22.78,0.035023,0.65477,0.874537,2
24.99,0.020333,0.959667,0.180048,4
23.97,0.004676,0.937961,0.224059,3
23.36,0.004706,1.032785,0.231003,3
20.86,0.004161,0.140264,0.228737,0
21.53,0.004299,0.180572,0.192699,0
22.22,0.043647,1.177713,1.587018,2
22.16,0.006662,3.375398,5.452385,1
25.36,0.017587,0.520643,0.218367,4
23.15,0.005304,0.855261,0.244928,3
22.6,0.004534,0.248006,0.173827,0
22.5,0.003143,3.548974,3.135991,1
22.74,0.005899,0.211797,0.261917,0
22.78,0.004101,1.172977,5.39591,1
25.25,0.010771,0.915203,0.134862,4
22.89,0.006089,0.921149,0.183773,3
28.04,0.026485,0.595755,0.165441,4
25.55,0.019536,0.618845,0.248572,4
20.73,0.021626,0.508984,1.548642,2
21.83,0.006389,0.236367,0.235156,0
26.01,0.019243,0.971463,0.146131,4
21.32,0.048827,0.658248,1.182883,2
22.79,0.005812,0.244479,0.160889,0
22.95,0.003048,1.07017,0.251226,3
22.62,0.005147,0.663338,0.244259,3
22.39,0.046619,0.884632,1.070419,2
22.26,0.006118,0.24936,0.225101,0
20.96,0.024132,1.367388,1.3452,2
25.06,0.004782,1.131975,0.205143,3
24.7,0.004611,0.996439,0.175734,3
24.43,0.014966,0.993162,0.233078,4
22.66,0.005619,1.250664,4.378052,1
22.75,0.003888,0.160689,0.203218,0
22.02,0.004282,0.193073,0.165908,0
25.17,0.004523,0.995459,0.142201,3
20.79,0.026566,1.391249,1.165125,2
21.73,0.005938,2.876008,3.17605,1
23.85,0.028623,0.603914,0.193858,4
22.04,0.004037,0.095921,0.169443,0
21.78,0.047688,0.731247,1.283463,2
22.75,0.005461,2.359134,4.540557,1
21.37,0.004362,0.132103,0.245477,0
27.0,0.025541,0.509087,0.238313,4
21.02,0.004274,0.179867,0.144569,0
22.92,0.025646,1.011126,1.547422,2
22.43,0.041746,1.286778,1.310358,2
20.94,0.004709,0.217312,0.133222,0
21.93,0.036212,1.127627,1.383483,2
22.19,0.005142,0.231222,0.240209,0
22.97,0.003833,0.835831,0.121189,3
26.79,0.005627,1.119384,0.234104,3
23.01,0.005336,0.831145,0.192277,3
21.78,0.025429,0.701361,1.400328,2
21.17,0.020748,1.181883,1.194134,2
22.79,0.026269,0.572463,0.175866,4
22.49,0.004987,0.606955,0.263393,3
22.44,0.037756,0.948211,0.930747,2
22.88,0.00549,0.21682,0.176183,0
21.24,0.003949,1.247933,4.022407,1
24.83,0.026498,0.804583,0.264794,4
22.45,0.005329,0.177728,0.275377,0
20.25,0.040835,1.363388,1.817834,2
24.32,0.027056,0.877695,0.168493,4
24.27,0.005215,0.213753,0.25609,0
24.1,0.00592,0.986403,0.192759,3
20.54,0.028628,0.907805,1.645398,2
26.52,0.019493,0.697475,0.191572,4
21.37,0.003804,0.127057,0.170696,0
21.5,0.049073,0.671567,1.31112,2
26.1,0.015971,0.943298,0.190915,4
25.52,0.016986,0.816814,0.21569,4
21.99,0.038687,1.219116,1.924946,2
26.05,0.025284,0.815428,0.178825,4
21.71,0.005367,1.77868,5.442105,1
20.79,0.048355,0.636879,1.471645,2
26.26,0.01414,0.530282,0.241627,4
23.24,0.006189,1.107003,0.209122,3
25.09,0.020248,0.725104,0.21991,4
23.47,0.004679,0.242435,0.257419,0
20.6,0.004665,0.269284,0.164201,0
23.36,0.005563,1.158645,0.200008,3
21.06,0.005238,0.256023,0.197793,0
21.21,0.005396,2.889231,3.345868,1
22.58,0.004885,0.140369,0.156896,0
24.32,0.005172,0.677528,0.168936,3
22.65,0.005466,0.175589,0.183989,0
25.83,0.019175,0.54584,0.193081,4
25.13,0.023245,0.857149,0.190396,4
21.16,0.002665,2.966992,4.036184,1
23.61,0.004823,1.158534,0.239656,3
21.39,0.005811,0.133239,0.23419,0
21.05,0.003419,0.289317,0.166646,0
23.96,0.003744,0.624283,0.156087,3
25.04,0.029377,0.587157,0.230388,4
22.12,0.022917,1.31683,1.421999,2
28.23,0.013132,0.696671,0.285573,4
21.09,0.003869,1.034007,3.993595,1
24.41,0.023389,0.677609,0.197311,4
22.04,0.003136,2.338306,5.173316,1
24.45,0.005825,1.123872,0.117727,3
22.03,0.005308,2.553435,5.044928,1
21.04,0.022057,1.128791,1.69183,2
21.94,0.004118,1.120292,2.275182,1
22.01,0.003605,1.36976,2.37645,1
20.9,0.005126,3.940086,3.526617,1
22.67,0.026368,0.657699,1.560887,2
25.77,0.029622,0.974969,0.190586,4
23.3,0.028329,0.818288,1.006811,2
26.93,0.019708,0.71222,0.2308,4
22.21,0.004813,1.018958,2.429107,1
25.89,0.015516,0.604928,0.232411,4
20.51,0.005111,2.973051,5.209521,1
24.18,0.005517,0.701639,0.249841,3
23.08,0.046696,1.171283,0.945274,2
25.86,0.027586,0.908719,0.237292,4
25.3,0.003223,0.656821,0.290813,3
24.8,0.00491,1.105467,0.20068,3
21.99,0.004874,2.492518,2.811669,1
23.1,0.00477,0.192417,0.144616,0
24.84,0.004385,0.706002,0.200544,3
25.34,0.005173,1.074542,0.194657,3
22.97,0.002907,0.190726,0.303004,0
27.2,0.010375,0.508884,0.18468,4
22.32,0.045528,1.400207,1.056646,2
26.46,0.01926,0.795785,0.168835,4
21.54,0.003467,0.208702,0.263806,0
20.33,0.005217,2.868069,2.713805,1
25.66,0.01976,0.604106,0.205324,4
22.75,0.02701,0.531187,0.148523,4
25.64,0.022387,0.908937,0.185514,4
22.35,0.005503,2.193593,2.694961,1
25.2,0.005063,0.907196,0.202749,3
23.88,0.004339,1.039122,0.183178,3
21.77,0.005689,0.220576,0.180714,0
21.69,0.00454,3.336967,2.344489,1
27.2,0.020407,0.566272,0.236029,4
21.34,0.006603,0.20818,0.213295,0
23.12,0.005539,0.191098,0.261318,0
23.82,0.005059,0.646947,0.153245,3
22.39,0.028245,0.934179,1.520832,2
25.16,0.004334,0.792951,0.248608,3
22.29,0.033741,1.444992,0.886619,2
23.25,0.017418,0.686066,0.198359,4
21.24,0.003438,2.110423,3.931151,1
21.82,0.004097,3.647388,2.00788,1
20.68,0.005288,0.161617,0.225573,0
23.71,0.005139,2.524979,3.412152,1
21.96,0.003417,0.188425,0.253332,0
21.01,0.00389,2.282889,2.691085,1
22.61,0.005739,0.128601,0.143575,0
22.55,0.024412,0.935185,1.932995,2
22.97,0.02127,0.901902,1.464258,2
21.33,0.004283,0.282491,0.184539,0
22.4,0.004477,0.196039,0.077182,0
21.88,0.004516,0.24454,0.150492,0
22.1,0.020638,1.469507,1.575323,2
20.71,0.003659,2.775613,5.670779,1
23.72,0.00465,0.821849,0.174965,3
22.05,0.004054,0.186816,0.17704,0
23.01,0.004142,1.180027,0.164181,3
22.08,0.004249,3.038265,5.225302,1
20.7,0.026477,1.344568,1.744865,2
26.68,0.022257,0.780594,0.189781,4
21.49,0.003035,0.246511,0.220226,0
20.72,0.004431,0.271445,0.246564,0
23.08,0.011061,0.694642,0.159076,4
22.97,0.005808,3.63073,5.662478,1
23.7,0.005926,3.149461,5.029667,1
22.48,0.005313,0.282098,0.184598,0
21.27,0.034004,0.627685,1.704551,2
21.92,0.046219,0.51335,0.897599,2
23.04,0.005373,2.325668,3.287617,1
22.28,0.005226,0.228343,0.171167,0
22.27,0.005608,0.268105,0.16142,0
21.21,0.03888,0.532879,0.939917,2
22.48,0.004128,3.278648,2.618109,1
24.6,0.006356,1.146132,0.111942,3
20.91,0.028918,0.538705,1.865112,2
21.57,0.004975,2.281209,3.727518,1
25.07,0.004044,0.867536,0.223224,3
21.56,0.004888,2.527183,3.923705,1
28.08,0.02483,0.837756,0.285133,4
21.26,0.004955,1.85403,4.74406,1
22.14,0.03086,0.979526,1.652717,2
21.72,0.004015,1.096349,4.389382,1
24.32,0.004633,1.879538,3.884499,1
20.3,0.00225,0.117084,0.157057,0
24.51,0.005654,1.206221,3.421652,1
22.17,0.026757,1.352796,1.175554,2
20.93,0.005022,1.442147,4.712623,1
23.59,0.004461,0.197568,0.211847,0
20.52,0.02024,0.813989,1.674986,2
27.18,0.005942,0.881492,0.259798,3
26.05,0.020187,0.525177,0.256003,4
21.31,0.003244,3.954695,5.223992,1
24.56,0.003344,1.067429,0.211921,3
22.8,0.023004,1.261979,0.838862,2
21.28,0.003355,0.233651,0.264358,0
23.07,0.036091,1.192509,1.933767,2
21.92,0.005007,0.184819,0.170944,0
25.5,0.004369,0.884577,0.169901,3
24.71,0.010772,0.55269,0.114222,4
25.44,0.026572,0.562371,0.220018,4
23.52,0.003037,1.174536,0.177994,3
25.75,0.005709,0.975018,0.192341,3
23.46,0.029117,0.602627,1.410999,2
25.47,0.005708,1.101237,0.178713,3
26.19,0.021394,0.577536,0.190216,4
21.84,0.003407,0.150451,0.177658,0
23.78,0.005945,1.075466,0.1885,3
23.16,0.005151,0.267133,0.183356,0
22.27,0.004602,0.167092,0.281954,0
25.22,0.012519,0.789406,0.206471,4
21.95,0.004416,3.202992,5.476365,1
21.9,0.00382,3.594401,3.894847,1
24.99,0.015491,0.738494,0.227774,4
22.18,0.002759,1.468967,5.950188,1
21.94,0.003333,2.819286,2.310139,1
23.16,0.043202,1.247005,1.698041,2
23.24,0.005329,0.653371,0.228415,3
22.71,0.002834,3.630454,4.8176,1
23.6,0.045887,0.978418,1.446935,2
21.57,0.004611,0.19124,0.18942,0
26.7,0.020156,0.641844,0.188592,4
20.91,0.004581,0.151708,0.250152,0
24.5,0.023771,0.949478,0.163053,4
22.91,0.041086,0.980783,0.935367,2
23.62,0.049175,0.58539,1.536216,2
26.13,0.029222,0.646163,0.148792,4
20.98,0.028025,0.98907,0.850666,2
21.75,0.00621,1.952825,3.501026,1
22.32,0.004489,3.493821,4.486594,1
22.55,0.038861,0.516035,1.411393,2
21.89,0.006122,2.574642,3.487883,1
23.21,0.003673,3.026208,3.226248,1
27.41,0.013863,0.941524,0.193797,4
24.24,0.006048,0.170513,0.214541,0
23.86,0.013848,0.526249,0.207806,4
21.04,0.02168,0.954403,1.7829,2
22.37,0.005412,0.178081,0.150364,0
21.4,0.005439,0.231863,0.2463,0
23.44,0.005246,0.91573,0.13467,3
24.22,0.004263,0.806821,0.268945,3
23.51,0.004299,1.188862,0.194196,3
22.44,0.004992,0.225874,0.193704,0
22.03,0.004126,3.963423,5.394172,1
22.1,0.004885,0.23223,0.183335,0
19.69,0.004275,0.227377,0.206832,0
21.21,0.005259,2.706793,3.49997,1
24.25,0.00328,1.186896,0.208394,3
25.68,0.004429,1.066213,0.238708,3
22.41,0.006301,3.294624,2.033581,1
20.95,0.005251,3.614685,4.855358,1
22.39,0.005797,1.539651,2.549128,1
26.99,0.026408,0.634006,0.159003,4
23.67,0.004178,0.687366,0.204294,3
23.57,0.004483,0.711493,0.214166,3
26.12,0.024984,0.74509,0.185336,4
23.77,0.020821,0.948104,1.058951,2
23.46,0.00496,1.188545,0.22116,3
19.98,0.005212,1.613481,5.365712,1
22.09,0.006862,0.211995,0.226207,0
20.37,0.004295,1.462778,4.894682,1
21.57,0.004809,2.637425,3.849309,1
25.0,0.021273,0.705249,0.19731,4
24.25,0.012311,0.80419,0.254729,4
28.21,0.029312,0.869411,0.195278,4
25.15,0.006878,0.686281,0.193084,3
26.06,0.012108,0.539795,0.225152,4
22.42,0.004987,1.133642,0.202413,3
21.39,0.003626,0.282308,0.180186,0
21.5,0.006518,0.28996,0.225337,0
24.1,0.013794,0.785161,0.149424,4
24.63,0.023196,0.663372,0.187686,4
24.5,0.004642,0.719856,0.144589,3
21.74,0.020044,0.792575,1.195527,2
22.92,0.004234,0.202039,0.197009,0
22.8,0.005191,0.254181,0.155035,0
20.52,0.036571,1.314072,0.865864,2
23.41,0.005238,0.144701,0.194481,0
20.4,0.004773,1.169126,3.806546,1
20.81,0.00441,0.152611,0.180537,0
25.87,0.021466,0.819377,0.212281,4
24.03,0.005562,0.920179,0.234866,3
23.55,0.004175,3.921338,2.304233,1
25.56,0.004605,0.847165,0.225112,3
21.05,0.003677,0.11021,0.151426,0
23.39,0.026586,0.832589,0.17087,4
20.89,0.004201,2.146894,2.008901,1
23.28,0.003258,0.763424,0.250419,3
24.58,0.021337,0.99256,0.184383,4
21.87,0.022946,0.715071,1.135295,2
22.67,0.042067,0.688584,1.231405,2
21.52,0.005936,1.085523,0.276208,3
24.53,0.028708,0.955127,0.137081,4
24.57,0.006369,0.607046,0.218524,3
20.7,0.047205,1.277474,1.641268,2
21.84,0.005591,1.011877,5.347414,1
26.43,0.028443,0.504152,0.254417,4
22.51,0.003768,0.189969,0.226794,0
23.22,0.030777,1.470997,1.494606,2
25.17,0.005478,0.872313,0.207133,3
24.94,0.003778,1.053733,0.105284,3
21.5,0.004284,3.397564,2.270686,1
25.1,0.035478,0.820416,1.510015,2
27.18,0.013687,0.792839,0.201127,4
22.9,0.006253,3.134271,3.59726,1
24.58,0.004691,1.04505,0.203704,3
25.86,0.025,0.505998,0.180673,4
22.94,0.046507,1.372832,1.384259,2
20.48,0.00499,3.809954,2.389868,1
24.69,0.00542,1.098573,0.2296,3
20.88,0.005706,0.220746,0.148602,0
27.61,0.015465,0.869814,0.158711,4
20.6,0.005205,2.018945,2.980247,1
22.67,0.004993,1.173971,0.20035,3
22.62,0.006329,3.363142,3.046704,1
24.39,0.019973,0.810741,0.222599,4
24.28,0.004964,3.645937,4.59216,1
26.59,0.027802,0.640206,0.093482,4
21.98,0.00436,2.517729,3.669256,1
21.47,0.035834,0.860142,1.292738,2
21.87,0.006082,1.383607,4.321376,1
22.11,0.005576,0.234159,0.264209,0
21.41,0.044391,1.165048,0.859377,2
23.93,0.007065,1.056467,0.189975,3
24.31,0.020022,0.510372,0.169919,4
23.3,0.006389,0.755982,0.243872,3
21.08,0.049303,0.993756,1.362563,2
21.43,0.039018,1.427847,1.611871,2
22.46,0.048263,0.689433,1.934156,2
23.3,0.004704,1.149078,0.261043,3
24.93,0.00393,0.60376,0.16406,3
22.58,0.01858,0.577603,0.196846,4
21.22,0.006061,1.008503,3.09913,1
22.08,0.002876,0.137667,0.187958,0
23.57,0.005707,1.183727,0.219262,3
25.85,0.026027,0.715462,0.176551,4
25.22,0.005115,0.629869,0.230668,3
27.19,0.025605,0.765913,0.297527,4
26.38,0.025249,0.862846,0.11534,4
23.75,0.005493,1.416754,3.690365,1
22.3,0.006492,0.189563,0.140497,0
25.07,0.00641,0.974437,0.186675,3
22.04,0.00499,0.192257,0.131966,0
22.51,0.004522,0.322413,0.198373,0
27.08,0.011715,0.934301,0.140342,4
23.99,0.004467,0.888585,0.223955,3
25.9,0.020354,0.606416,0.176692,4
24.14,0.004906,0.197124,0.155933,0
23.38,0.004601,0.960156,0.22703,3
23.04,0.011455,0.806328,0.253217,4
23.12,0.005019,0.910322,0.112358,3
25.77,0.010983,0.986142,0.222538,4
21.97,0.00471,0.193025,0.236786,0
23.55,0.023414,0.61976,0.216116,4
23.21,0.005269,1.095306,4.726666,1
20.92,0.003641,0.243952,0.114675,0
21.96,0.005359,3.753425,5.656206,1
25.68,0.02626,0.747893,0.170485,4
21.33,0.006104,0.276919,0.143701,0
23.01,0.04535,0.610695,1.636593,2
23.88,0.026187,0.757236,0.182672,4
24.47,0.004376,0.677023,0.24588,3
27.02,0.029252,0.844219,0.16958,4
21.87,0.004641,0.235136,0.206959,0
23.78,0.003524,0.987621,0.179798,3
22.32,0.005442,1.573598,3.792531,1
22.13,0.005676,1.962924,5.381126,1
24.36,0.025537,0.564894,0.153481,4
29.24,0.029317,0.565838,0.212164,4
23.05,0.006427,2.533383,5.349907,1
22.34,0.003917,0.078318,0.095744,0
25.0,0.029303,0.998536,0.160946,4
24.76,0.013817,0.799157,0.243981,4
21.63,0.005913,3.812046,3.980476,1
24.04,0.021452,1.251212,0.803677,2
21.14,0.006854,2.340987,2.30884,1
23.38,0.005217,1.029214,0.180798,3
19.9,0.025783,1.046421,1.098018,2
21.97,0.004905,3.854704,3.744226,1
20.3,0.004473,3.271316,2.355007,1
26.7,0.025161,0.930856,0.149895,4
21.54,0.005464,0.137938,0.289798,0
23.69,0.004964,0.135755,0.247619,0
23.06,0.004297,2.409197,2.662373,1
23.47,0.005356,0.844634,0.188099,3
20.46,0.004456,0.764039,0.169922,3
21.49,0.029385,1.458655,1.93475,2
22.35,0.00544,1.452647,4.350958,1
20.87,0.00484,1.718909,3.849628,1
20.15,0.005391,0.167764,0.211221,0
21.72,0.029021,1.011223,1.022635,2
22.7,0.006359,2.729823,4.413258,1
25.86,0.021493,0.954597,0.148811,4
26.79,0.00474,1.051919,0.129277,3
25.5,0.024188,0.756847,0.198626,4
23.59,0.007352,0.967239,0.173288,3
25.92,0.020482,0.588686,0.228472,4
24.32,0.005935,1.03689,0.193682,3
25.39,0.005741,0.760936,0.146637,3
21.62,0.037966,0.528569,1.510863,2
24.29,0.005419,1.14356,0.197509,3
25.06,0.013351,0.830269,0.155718,4
22.75,0.004202,1.996395,5.173045,1
21.93,0.004854,0.240544,0.203849,0
22.83,0.026399,1.196297,1.801325,2
24.53,0.014623,0.595804,0.219555,4
22.9,0.004025,0.184792,0.196198,0
22.09,0.004611,0.270738,0.178607,0
20.16,0.004193,1.218352,4.204523,1
24.4,0.016015,0.783292,0.191193,4
22.48,0.006452,2.442642,2.247301,1
23.91,0.005093,0.639803,0.223646,3
22.2,0.006213,2.847596,3.475016,1
21.28,0.022329,0.821607,0.828006,2
21.99,0.027299,1.056086,1.930774,2
21.71,0.005553,0.151002,0.248464,0
21.89,0.048495,0.728474,1.945098,2
25.4,0.019321,0.935624,0.194024,4
22.52,0.029963,0.789957,0.941403,2
24.81,0.005495,0.871773,0.161222,3
23.86,0.013008,0.509116,0.196257,4
23.4,0.036546,0.94072,0.993787,2
21.29,0.035645,0.88048,1.703297,2
21.5,0.005869,3.812283,2.974867,1
24.78,0.005561,0.977303,0.230921,3
21.3,0.007432,0.193484,0.1977,0
24.09,0.006087,2.79394,4.348147,1
21.89,0.003906,2.260873,5.977239,1
25.95,0.012183,0.922831,0.209649,4
27.18,0.029913,0.962016,0.184361,4
23.12,0.004753,1.155709,0.191829,3
25.68,0.022627,0.833499,0.220102,4
23.13,0.044752,1.094064,0.995764,2
21.37,0.005524,1.411895,5.746553,1
21.32,0.035498,0.762376,1.546229,2
21.44,0.005658,0.639521,0.212116,3
20.6,0.005045,0.151254,0.229462,0
22.01,0.004994,3.235333,2.368659,1
20.96,0.006461,0.188863,0.159249,0
23.05,0.045372,1.059701,1.228112,2
22.5,0.036595,0.935489,1.437637,2
21.45,0.003703,1.741174,5.56299,1
22.28,0.004802,1.243093,2.533697,1
21.97,0.021246,1.356333,1.741933,2
22.63,0.004878,0.852125,0.14402,3
21.89,0.005128,1.309197,4.762031,1
20.87,0.036881,0.968891,0.985044,2
21.54,0.003835,1.564769,2.983593,1
21.01,0.005036,0.918416,0.226769,3
21.72,0.00358,1.009873,4.485519,1
22.66,0.042535,0.977674,1.393562,2
22.23,0.005592,0.181059,0.244614,0
22.01,0.005299,2.343669,5.310027,1
22.4,0.032154,0.729692,1.722754,2
27.15,0.027031,0.625423,0.2102,4
22.25,0.020915,1.104391,0.849848,2
23.47,0.006311,0.830617,0.209859,3
23.69,0.045178,1.297317,1.947677,2
21.32,0.029769,1.489474,1.278192,2
23.19,0.00411,0.634672,0.125369,3
26.06,0.015345,0.720731,0.163244,4
25.5,0.022692,0.50317,0.157785,4
23.35,0.004651,0.196623,0.208313,0
22.37,0.004052,2.431525,2.842074,1
24.32,0.028453,1.296792,0.944355,2
22.71,0.045487,0.660352,1.845839,2
21.8,0.005503,2.550801,3.628518,1
22.9,0.005191,0.938938,0.185809,3
25.71,0.027373,0.775127,0.252706,4
26.06,0.012865,0.62262,0.206568,4
23.17,0.004258,1.192257,0.180855,3
24.23,0.005507,0.751396,0.208466,3
25.2,0.026804,0.922566,0.205213,4
23.57,0.004427,0.065039,0.213817,0
22.01,0.049648,1.100313,1.093054,2
26.88,0.015942,0.797437,0.192454,4
23.24,0.004502,1.796229,3.038914,1
23.89,0.004757,1.053831,0.173701,3
23.86,0.006182,0.816,0.161544,3
24.83,0.004476,0.764313,0.207002,3
21.83,0.005895,2.095039,3.569296,1
21.64,0.040688,0.950185,0.88194,2
22.78,0.005828,1.11519,0.178306,3
21.93,0.005642,0.223821,0.210001,0
24.6,0.003548,0.917828,0.175571,3
21.32,0.00577,2.298182,5.911258,1
21.89,0.033159,0.714234,1.294497,2
23.07,0.005103,0.627564,0.208681,3
18.61,0.005272,0.155967,0.174328,0
21.69,0.042911,0.55372,1.841833,2
21.78,0.004115,1.719471,3.400647,1
24.6,0.005823,1.006003,0.24977,3
23.59,0.025617,0.649433,0.200459,4
29.46,0.017073,0.75704,0.228102,4
21.58,0.005346,1.206666,2.972699,1
24.39,0.005918,0.608569,0.191898,3
22.24,0.005057,0.610503,0.223472,3
25.62,0.012358,0.561151,0.175392,4
22.03,0.005965,3.005351,5.755193,1
23.82,0.004256,0.157049,0.17363,0
22.65,0.046106,1.15049,1.653928,2
21.88,0.005742,0.163561,0.195068,0
24.89,0.004921,0.815967,0.187487,3
21.46,0.04862,0.650476,0.954577,2
21.09,0.00589,3.863468,4.744839,1
21.79,0.004374,0.07889,0.174979,0
22.14,0.004901,0.992698,0.179614,3
23.52,0.00647,0.839283,0.194597,3
21.27,0.022531,0.608379,1.660965,2
26.74,0.016789,0.86533,0.238116,4
21.14,0.003773,1.332168,5.285146,1
24.74,0.017983,0.767492,0.252037,4
26.53,0.005139,0.602367,0.227701,3
24.33,0.003814,1.384312,3.030823,1
22.91,0.005156,1.020311,0.1812,3
22.94,0.046455,0.834972,1.007134,2
21.41,0.030326,0.657179,1.642047,2
21.53,0.002658,0.20257,0.259274,0
23.21,0.006337,0.225362,0.196739,0
25.48,0.018978,0.532134,0.188893,4
22.94,0.004932,2.711094,2.937744,1
24.78,0.00683,1.173512,0.156354,3
20.45,0.023105,0.808047,1.920244,2
22.37,0.003808,0.19043,0.256877,0
24.37,0.005382,0.749292,0.226708,3
24.11,0.003781,0.652592,0.167542,3
21.58,0.005263,1.95639,3.14996,1
23.55,0.003714,0.201391,0.201236,0
25.64,0.021685,0.583211,0.153753,4
24.57,0.017715,0.740608,0.176358,4
21.12,0.005391,2.446605,3.012274,1
22.83,0.005293,2.216774,3.934959,1
26.01,0.003426,0.862135,0.21891,3
20.25,0.004289,0.178725,0.171385,0
20.3,0.047481,0.917604,1.931682,2
21.58,0.002468,0.298508,0.158195,0
23.09,0.010924,0.880891,0.206292,4
23.96,0.004575,0.855843,0.179271,3
25.27,0.006529,1.157382,0.199506,3
24.17,0.004437,1.138506,0.224349,3
20.8,0.004024,1.164146,5.528554,1
25.49,0.005236,0.97794,0.170722,3
20.97,0.004998,0.151859,0.159852,0
23.97,0.004903,0.816888,0.304037,3
24.54,0.023042,0.588448,0.2004,4
21.86,0.007213,3.112295,2.346555,1
22.23,0.005093,0.204158,0.192898,0
23.4,0.005759,1.535872,5.378219,1
22.41,0.005166,0.184709,0.116362,0
22.27,0.005605,2.858641,3.090377,1
21.9,0.005278,2.915254,3.813502,1
23.26,0.004828,1.730239,4.892012,1
24.3,0.005755,1.047028,0.268935,3
25.46,0.006341,0.905322,0.277741,3
21.82,0.0042,1.53171,2.715747,1
20.99,0.004945,1.749697,5.947623,1
28.55,0.021836,0.77094,0.195388,4
25.76,0.018703,0.671744,0.180282,4
23.81,0.017752,0.805008,0.196999,4
23.53,0.006275,0.902586,0.218404,3
